"Name";"Accepted_name_rank";"Accepted_name_family";"Genus_matched";"Specific_epithet_matched";"Accepted_name_species";"Taxonomic_status";"Overall_score";"Source";"fonction";"restriction";"description"
"Artemisia indica";"species";"Asteraceae";"Artemisia";"indica";"Artemisia indica";"Accepted";"1";"tpl;gcc;tropicos";"SKIN CONDITIONING";"";"This is a filtrate of the extract of the fermentation of the bulbs of Allium cepa, Allium sativum, and Solanum tuberosum; the fruits of Ananas comosus, Carica papaya, Citrus limon, Cucumis sativus, Diospyros kaki, Solanum lycopersicum and Vitis coignetiae; the leaves of Allium tuberosum, Aloe barbadensis, Artemisia indica, Brassica oleracea capitata, Brassica rapa, Houttuynia cordata, Petroselinum crispum and Spinacia oleracea; the roots of Arctium lappa, Brassica rapa, Daucus carota sativa, Nelumbo nucifera and Raphanus sativus; the seeds of Coix lachryma-Jobi ma-yuen, Hordeum vulgare, and Oryza sativa; the sprouts of Vigna radiata; the whole plants, Brassica oleracea italica, Grifola frondosa, Lentinula edodes and Saccharina japonica, by the microorganisms Lactococcus and Saccharomyces."
"Lamium purpureum";"species";"Lamiaceae";"Lamium";"purpureum";"Lamium purpureum";"Accepted";"1";"tpl;tropicos;usda";"HUMECTANT, SKIN CONDITIONING";"";"Lamium Purpureum Extract is the extract of the whole plant Lamium purpureum, Lamiaceae."
"Lavandula dentata";"species";"Lamiaceae";"Lavandula";"dentata";"Lavandula dentata";"Accepted";"1";"tpl;tropicos";"MASKING";"";"Lavandula Dentata Flower/Leaf Oil is the volatile oil obtained from the flowers and leaves of Lavandula dentata, Lamiaceae."
"Lemmaphyllum microphyllum";"species";"Polypodiaceae";"Lemmaphyllum";"microphyllum";"Lemmaphyllum microphyllum";"Accepted";"1";"tpl;tropicos";"EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING";"";"Lemmaphyllum Microphyllum Extract is the extract of the whole plant Lemmaphyllum microphyllum, Polypodiaceae."
"Linaria loeselii";"species";"Plantaginaceae";"Linaria";"loeselii";"Linaria loeselii";"Accepted";"1";"tpl;tropicos";"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING";"";"Linaria Loeselii Callus Extract is the extract of the callus of Linaria Loeselii, Plantaginaceae, grown in culture."
"Liquidambar acalycina";"species";"Altingiaceae";"Liquidambar";"acalycina";"Liquidambar acalycina";"Accepted";"1";"tpl";"MASKING, SKIN CONDITIONING";"";"Liquidambar Acalycina/Formosana Resin Oil is the volatile oil obtained from the resin of Liquidambar acalycina and Liquidambar formosana."
"Lithops pseudotruncatella";"species";"Aizoaceae";"Lithops";"pseudotruncatella";"Lithops pseudotruncatella";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Lithops Pseudotruncatella Callus Lysate are the lysed cells derived from the callus of Lithops pseudotruncatella grown in culture."
"Lodoicea maldivica";"species";"Arecaceae";"Lodoicea";"maldivica";"Lodoicea maldivica";"Accepted";"1";"tpl";"ANTIOXIDANT";"";"Lodoicea Maldivica Fruit Extract is the extract of the fruit of Lodoicea maldivica, Arecaceae."
"Loranthus tanakae";"species";"Loranthaceae";"Loranthus";"tanakae";"Loranthus tanakae";"Accepted";"1";"tpl;tropicos";"BLEACHING";"";"Loranthus Tanakae Stem Extract is the extract of the stems of Loranthus tanakae, ?Loranthaceae."
"Lycoris uydoensis";"species";"Amaryllidaceae";"Lycoris";"uydoensis";"Lycoris uydoensis";"Accepted";"1";"tpl";"ANTIMICROBIAL, ANTIOXIDANT, PRESERVATIVE";"";"Lycoris Uydoensis Extract is the extract of the whole plant Lycoris uydoensis, Amaryllidaceae."
"Mentha australis";"species";"Lamiaceae";"Mentha";"australis";"Mentha australis";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Mentha Australis Leaf Extract is the extract of the leaves of Mentha australis, Lamiaceae."
"Mucuna birdwoodiana";"species";"Fabaceae";"Mucuna";"birdwoodiana";"Mucuna birdwoodiana";"Accepted";"1";"ildis;tropicos";"SKIN CONDITIONING";"";"Mucuna Birdwoodiana Stem Extract is an extract of the stems of Mucuna birdwoodiana, Leguminosae"
"Muhlenbergia capillaris";"species";"Poaceae";"Muhlenbergia";"capillaris";"Muhlenbergia capillaris";"Accepted";"1";"tpl;tropicos;usda";"EMOLLIENT, SKIN CONDITIONING";"";"Muhlenbergia Capillaris Extract is the extract of the whole plant Muhlenbergia capillaris, Poaceae."
"Nuphar lutea";"species";"Nymphaeaceae";"Nuphar";"lutea";"Nuphar lutea";"Accepted";"1";"tpl;tropicos;usda";"EMOLLIENT, SKIN CONDITIONING";"";"Nuphar Lutea Extract is the extract of the whole plant Nuphar lutea, Nymphaeaceae."
"Nymphoides hydrophylla";"species";"Menyanthaceae";"Nymphoides";"hydrophylla";"Nymphoides hydrophylla";"Accepted";"1";"tpl;tropicos";"ANTIOXIDANT";"";"Nymphoides Hydrophylla Stem Extract is the extract of the stems of Nymphoides hydrophylla, Menyanthaceae."
"Patrinia scabiosifolia";"species";"Caprifoliaceae";"Patrinia";"scabiosifolia";"Patrinia scabiosifolia";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Patrinia Scabiosifolia Extract is the extract of the whole plant Patrinia scabiosifolia, Caprifoliaceae."
"Persicaria amphibia";"species";"Polygonaceae";"Persicaria";"amphibia";"Persicaria amphibia";"Accepted";"1";"tpl;tropicos";"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING";"";"Persicaria Amphibia Extract is the extract of the whole plant Persicaria amphibia (Polygonaceae)."
