Name_number;Name_submitted;Overall_score;Name_matched;Name_matched_rank;Name_score;Name_matched_author;Name_matched_url;Author_matched;Author_score;Family_matched;Family_score;Name_matched_accepted_family;Genus_matched;Genus_score;Specific_epithet_matched;Specific_epithet_score;Infraspecific_rank;Infraspecific_epithet_matched;Infraspecific_epithet_score;Infraspecific_rank_2;Infraspecific_epithet_2_matched;Infraspecific_epithet_2_score;Annotations;Unmatched_terms;Taxonomic_status;Accepted_name;Accepted_name_author;Accepted_name_rank;Accepted_name_url;Accepted_name_species;Accepted_name_family;Selected;Source;Warnings;Accepted_name_lsid
2874;DEER ANTLER;0.34;Dyera;genus;0.34;;"http://www.theplantlist.org/tpl1.1/search?q=Dyera;http://plants.usda.gov/java/profile?symbol=DYERA";;;;;Apocynaceae;Dyera;0.6;;;;;;;;;;ANTLER;Accepted;Dyera;;genus;"http://www.theplantlist.org/tpl1.1/search?q=Dyera;http://plants.usda.gov/java/profile?symbol=DYERA";;Apocynaceae;true;"tpl;usda"; [Partial match] ;
2875;THYMUS VULGARIS;1;Thymus vulgaris;species;1;L.;"http://www.theplantlist.org/tpl1.1/record/kew-205645;http://www.tropicos.org/Name/17600443;http://plants.usda.gov/java/profile?symbol=THVU";;;;;Lamiaceae;Thymus;1;vulgaris;1;;;;;;;;;Accepted;Thymus vulgaris;L.;species;"http://www.theplantlist.org/tpl1.1/record/kew-205645;http://www.tropicos.org/Name/17600443;http://plants.usda.gov/java/profile?symbol=THVU";Thymus vulgaris;Lamiaceae;true;"tpl;tropicos;usda"; ;
2876;SOYMILK;0.69;Soymida;genus;0.69;;http://www.theplantlist.org/tpl1.1/search?q=Soymida;;;;;Meliaceae;Soymida;0.71;;;;;;;;;;;Accepted;Soymida;;genus;http://www.theplantlist.org/tpl1.1/search?q=Soymida;;Meliaceae;true;tpl; ;
2877;NONFAT MILK;0.4;Nonea;genus;0.4;;"http://www.theplantlist.org/tpl1.1/search?q=Nonea;http://plants.usda.gov/java/profile?symbol=NONEA";;;;;Boraginaceae;Nonea;0.67;;;;;;;;;;MILK;Accepted;Nonea;;genus;"http://www.theplantlist.org/tpl1.1/search?q=Nonea;http://plants.usda.gov/java/profile?symbol=NONEA";;Boraginaceae;true;"tpl;usda"; [Partial match] ;
2878;HYDROLYZED MILK;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2879;LACTOSE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2880;SODIUM ASCORBATE;0.46;Soridium;genus;0.46;;http://www.theplantlist.org/tpl1.1/search?q=Soridium;;;;;Triuridaceae;Soridium;0.75;;;;;;;;;;ASCORBATE;Accepted;Soridium;;genus;http://www.theplantlist.org/tpl1.1/search?q=Soridium;;Triuridaceae;true;tpl; [Partial match] ;
2881;SILICON FERMENT;0.44;Silybon;genus;0.44;St.-Lag.;http://dixon.iplantcollaborative.org/CompositaeWeb/default.aspx?Page=NameDetails&TabNum=0&NameId=CE9121FC-0D6F-445E-A010-644476D77C64;;;;;Asteraceae;Silybon;0.71;;;;;;;;;;FERMENT;No opinion;;;;;;;true;gcc; [Partial match] ;
2882;PAECILOMYCES JAPONICA;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2883;LACTOBACILLUS ACANTHOPANAX;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2884;BIFONAZOLE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2885;BIFURCARIA BIFURCATA;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2886;BIOFLAVONOIDS;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2887;BIORESMETHRIN;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2888;BIOSACCHARIDE GUM-1;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2889;BIOSACCHARIDE GUM-2;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2890;BIOSACCHARIDE GUM-3;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2891;BIOSACCHARIDE GUM-4;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2892;BIOSACCHARIDE GUM-5;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2893;BIOTA ORIENTALIS;1;Biota orientalis;species;1;(L.) Endl.;"http://www.theplantlist.org/tpl1.1/record/kew-2676235;http://www.tropicos.org/Name/24900593;http://plants.usda.gov/java/profile?symbol=PLOR80";;;;;Cupressaceae;Biota;1;orientalis;1;;;;;;;;;Synonym;Platycladus orientalis;(L.) Franco;species;"http://www.theplantlist.org/tpl1.1/record/kew-2411523;http://www.tropicos.org/Name/24900394;http://plants.usda.gov/java/profile?symbol=PLOR80";Platycladus orientalis;Cupressaceae;true;"tpl;tropicos;usda"; ;
2894;BIOTIN;0.6;Bionia;genus;0.6;;http://www.theplantlist.org/tpl1.1/search?q=Bionia;;;;;Fabaceae;Bionia;0.67;;;;;;;;;;;Accepted;Bionia;;genus;http://www.theplantlist.org/tpl1.1/search?q=Bionia;;Fabaceae;true;tpl; ;
2895;CYANOCOBALAMIN;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2896;NIACINAMIDE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2897;PANTOTHENIC ACID;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2898;PYRIDOXINE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2899;RIBOFLAVIN;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2900;THIAMINE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2901;YEAST POLYPEPTIDES;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2902;MOUSE FIBROBLAST;0.34;Morus;genus;0.34;;http://www.theplantlist.org/tpl1.1/search?q=Morus;;;;;Moraceae;Morus;0.6;;;;;;;;;;FIBROBLAST;Accepted;Morus;;genus;http://www.theplantlist.org/tpl1.1/search?q=Morus;;Moraceae;true;tpl; [Partial match] ;
2903;BIOTINOYL HEXAPEPTIDE-2;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2904;BIOTINOYL HISTIDYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2905;BIOTINOYL PENTAPEPTIDE-4;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2906;BIOTINOYL TETRAPEPTIDE-51;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2907;BIOTINOYL TRIPEPTIDE-1;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2908;BIOTINOYL TRIPEPTIDE-35;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2909;BIOTITE;0.69;Biotia;genus;0.69;Cass.;http://dixon.iplantcollaborative.org/CompositaeWeb/default.aspx?Page=NameDetails&TabNum=0&NameId=A1D1365B-4131-4E16-B547-352DBD872505;;;;;Asteraceae;Biotia;0.71;;;;;;;;;;;Synonym;Madia;Molina;genus;http://dixon.iplantcollaborative.org/CompositaeWeb/default.aspx?Page=NameDetails&TabNum=0&NameId=BE73C69B-627D-421A-A8DD-1C05D1E2C017;;Asteraceae;true;gcc; [Ambiguous match] ;urn:lsid:compositae.org:names:BE73C69B-627D-421A-A8DD-1C05D1E2C017
2910;BIPHENYL AZEPANYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2911;BIPHENYLHYDROXAMIC ACID;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2912;BIS1-METHYLHEPTYL MALEATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2913;BISAMINOMETHYLNORBORNANE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2914;BISAMINOPROPYL BISNAPHTHYLMETHYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2915;BISBUTYLBENZOATE DIAMINOTRIAZINE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2916;BISC13-15 ALKOXY;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2917;BISCYANO BUTYLACETATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2918;BISGLYCERYL DIMETHACRYLATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2919;BISGLYCIDOXYPHENYLPROPANE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2920;BISAMINOMETHYLNORBORNANE COPOLYMER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2921;BISHEXAMETHYLENETRIAMINE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2922;BISHEXYLDECYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2923;OCTYLDODECYL LAUROYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2924;BISMETHACRYLOYLOXYETHYL PHOSPHATE?;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2925;BISPENTAERYTHRITYL TRIACRYLATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2926;IPDI COPOLYMER;0.34;India;genus;0.34;;http://www.theplantlist.org/tpl1.1/search?q=India;;;;;Orchidaceae;India;0.6;;;;;;;;;;COPOLYMER;Accepted;India;;genus;http://www.theplantlist.org/tpl1.1/search?q=India;;Orchidaceae;true;tpl; [Partial match] ;
2927;BISPPG-7 UNDECENETH-21;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2928;BIST-BUTYL BENZOXAZOLYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2929;BISTRIOCTYLDODECYL CITRYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2930;BISTRIPEPTIDE-1 COPPER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2931;BIS-C1-8 ALKYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2932;BIS-C12-14 ALKYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2933;BIS-DITRIMETHYLOLPROPANE TRIACRYLATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2934;BIS-ETHYL PPG-3;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2935;BIS-GLYCERYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2936;LAURYL GLYCERYL;0.4;Laurus;genus;0.4;;http://www.theplantlist.org/tpl1.1/search?q=Laurus;;;;;Lauraceae;Laurus;0.67;;;;;;;;;;GLYCERYL;Accepted;Laurus;;genus;http://www.theplantlist.org/tpl1.1/search?q=Laurus;;Lauraceae;true;tpl; [Partial match] ;
2937;BIS-POLYGLYCERYL-3 OXYPHENYLPROPYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2938;BIS-POLYGLYCERYL-7 OXYPHENYLPROPYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2939;BIS-TETRAMETHYL HYDROXYPIPERIDINYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2940;BIS-ACRYLOYL POLOXAMER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2941;BIS-ADAMANTANYL PEG-2300;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2942;BIS-ADAMANTYL PEG-800;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2943;BIS-AMINOETHOXYETHANE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2944;GUANIDINE HCL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2945;BIS-AMINOPROPYL DIGLYCOL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2946;BIS-AMINOPROPYL DIMETHICONE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2947;BIS-AMINOPROPYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2948;ETHOXY AMINOPROPYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2949;BIS-ARACHIDYL PEG-400;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2950;SMDI COPOLYMER;0.23;Sida;genus;0.23;;http://www.theplantlist.org/tpl1.1/search?q=Sida;;;;;Malvaceae;Sida;0.5;;;;;;;;;;COPOLYMER;Accepted;Sida;;genus;http://www.theplantlist.org/tpl1.1/search?q=Sida;;Malvaceae;true;tpl; [Partial match] ;
2951;BIS-BEHENYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2952;ISOSTEARYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2953;BIS-BENZYL BUTYLENE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2954;BIS-BENZYL PROPANEDIOL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2955;BIS-BENZYL UNDECANOATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2956;BIS-BUTYLDIMETHICONE POLYGLYCERYL-3;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2957;BIS-BUTYLOXYAMODIMETHICONE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2958;PEG-60 COPOLYMER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2959;BIS-C10-28 ALKYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2960;BIS-C16-18 ALKYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2961;BIS-C16-20 ISOALKOXY;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2962;PEG-90 COPOLYMER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2963;BIS-C24-28 HYDROXYALKYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2964;BIS-C30-45 ALKYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2965;BIS-CAPRYLOYLOXYPALMITAMIDO ISOPROPANOL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2966;BIS-CAPRYLYLAMINOETHYL GLYCINE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2967;BIS-CARBOXYDECYL DIMETHICONE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2968;BIS-CETEARAMIDOETHYLDIETHONIUM SUCCINOYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2969;BIS-CETEARYL AMODIMETHICONE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2970;BIS-CETYL CETYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2971;BIS-CETYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2972;PEG-8 CETYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2973;BIS-COUMARAMIDO PROPANE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2974;BIS-COUMARAMIDOBUTANE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2975;BIS-DECYLTETRADECANYL IPDI;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2976;PEG-795 COPOLYMER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2977;BIS-DEMETHOXYCURCUMIN;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2978;BIS-DIAMINOPYRIMIDINE OXIDE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2979;BIS-DICAPROLACTONE ETHOXYACRYLATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2980;BIS-DIGLYCERYL POLYACYLADIPATE-1;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2981;BIS-DIGLYCERYL POLYACYLADIPATE-2;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2982;BIS-DIHYDROXYCINNAMIDO PROPANE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2983;BIS-DIISOPROPANOLAMINO-PG-PROPYL DIMETHICONE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2984;BIS-ISOBUTYL PEG-14;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2985;BIS-DIISOPROPYLPHENYL TETRAPHENOXYPERYLENE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2986;BIS-DIMETHICONE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2987;BIS-DIMONIUM METHOSULFATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2988;BIS-DIOCTADECYLAMIDE DIMER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2989;ETHYLENEDIAMINE COPOLYMER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2990;BIS-DIPHENYLETHYL DISILOXANE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2991;BIS-DODECYLHEXADECYL DIMER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2992;PROPANEDIOL COPOLYMER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2993;BIS-ETHOXYDIGLYCOL CYCLOHEXANE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2994;BIS-ETHOXYDIGLYCOL SUCCINATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2995;BIS-ETHYL ETHYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2996;BIS-ETHYLHEXYL BIS-OLEYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2997;BIS-ETHYLHEXYL HYDROXYDIMETHOXY;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2998;BIS-ETHYLHEXYL POLY1,4-BUTANEDIOL-13;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
2999;BIS-ETHYLHEXYL POLY1,4-BUTANEDIOL-14;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3000;BIS-ETHYLHEXYL POLY1,4-BUTANEDIOL-22;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3001;DMPA;0.52;Dupoa;genus;0.52;;http://www.theplantlist.org/tpl1.1/search?q=Dupoa;;;;;Poaceae;Dupoa;0.6;;;;;;;;;;;Accepted;Dupoa;;genus;http://www.theplantlist.org/tpl1.1/search?q=Dupoa;;Poaceae;true;tpl; ;
3002;BIS-ETHYLHEXYL POLYCAPROLACTONE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3003;BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3004;BIS-ETHYLHYDROXYCYCLOHEXYL METHACRYLATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3005;BIS-ETHYLQUINOLINIUM ETHYLQUINOLINIDENEPENTADIENE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3006;BIS-FERULAMIDOBUTANE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3007;BIS-GLUCONAMIDOETHYLAMINOPROPYL DIMETHICONE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3008;BIS-GLYCERYL ASCORBATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3009;BIS-GLYCERYL DIMETHACRYLATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3010;BIS-GLYCIDOXY DIMETHICONE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3011;PEG-13 DIGLYCIDYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3012;BIS-GLYOXYLOYL CYSTINE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3013;BIS-HEA IPDI;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3014;PPG-26 COPOLYMER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3015;PPG-53 COPOLYMER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3016;BIS-HEA ISOPROPYLIDENEDIPHENYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3017;BIS-HEA POLY1,4-BUTANEDIOL-22;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3018;BIS-HEA POLY1,4-BUTANEDIOL-9;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3019;TDI COPOLYMER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3020;BIS-HEA POLYCAPROLACTONE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3021;BIS-HEA POLYGLYCOL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3022;1,4-BUTANEDIOL ADIPATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3023;BIS-HEA POLYHEXAMETHYLENE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3024;METHYLPENTYLENE CARBONATE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3025;BIS-HEA POLYDIETHYLENEGLYCOL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3026;BIS-HEA PPG-10;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3027;BIS-HEA SMDI;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3028;PPG-6 COPOLYMER;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3029;BIS-HEA TRICYCLODECANEDIMETHYL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3030;BIS-HEA;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
3031;ETHYLHEXYL POLY1,4-BUTANEDIOL-11;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
