Name_number;Name_submitted;Overall_score;Name_matched;Name_matched_rank;Name_score;Name_matched_author;Name_matched_url;Author_matched;Author_score;Family_matched;Family_score;Name_matched_accepted_family;Genus_matched;Genus_score;Specific_epithet_matched;Specific_epithet_score;Infraspecific_rank;Infraspecific_epithet_matched;Infraspecific_epithet_score;Infraspecific_rank_2;Infraspecific_epithet_2_matched;Infraspecific_epithet_2_score;Annotations;Unmatched_terms;Taxonomic_status;Accepted_name;Accepted_name_author;Accepted_name_rank;Accepted_name_url;Accepted_name_species;Accepted_name_family;Selected;Source;Warnings;Accepted_name_lsid
15;ANGELICA ACUTILOBA;1;Angelica acutiloba;species;1;(Siebold & Zucc.) Kitag.;"http://www.theplantlist.org/tpl1.1/record/kew-2638973;http://www.tropicos.org/Name/1700293";;;;;Apiaceae;Angelica;1;acutiloba;1;;;;;;;;;Accepted;Angelica acutiloba;(Siebold & Zucc.) Kitag.;species;"http://www.theplantlist.org/tpl1.1/record/kew-2638973;http://www.tropicos.org/Name/1700293";Angelica acutiloba;Apiaceae;true;"tpl;tropicos"; ;
16;COPTIS JAPONICA;1;Coptis japonica;species;1;(Thunb.) Makino;http://www.theplantlist.org/tpl1.1/record/kew-2736112;;;;;Ranunculaceae;Coptis;1;japonica;1;;;;;;;;;Accepted;Coptis japonica;(Thunb.) Makino;species;http://www.theplantlist.org/tpl1.1/record/kew-2736112;Coptis japonica;Ranunculaceae;true;tpl; ;
17;GLYCYRRHIZA GLABRA;1;Glycyrrhiza glabra;species;1;;http://www.theplantlist.org/tpl1.1/search?q=Glycyrrhiza+glabra;;;;;Fabaceae;Glycyrrhiza;1;glabra;1;;;;;;;;;No opinion;;;;;;;true;tpl; ;
18;PLATYCODON GRANDIFLORUS;1;Platycodon grandiflorus;species;1;(Jacq.) A.DC.;http://www.theplantlist.org/tpl1.1/record/kew-354641;;;;;Campanulaceae;Platycodon;1;grandiflorus;1;;;;;;;;;Accepted;Platycodon grandiflorus;(Jacq.) A.DC.;species;http://www.theplantlist.org/tpl1.1/record/kew-354641;Platycodon grandiflorus;Campanulaceae;true;tpl; ;
19;REHMANNIA GLUTINOSA;1;Rehmannia glutinosa;species;1;(Gaertn.) DC.;http://www.theplantlist.org/tpl1.1/record/kew-2527243;;;;;Orobanchaceae;Rehmannia;1;glutinosa;1;;;;;;;;;Accepted;Rehmannia glutinosa;(Gaertn.) DC.;species;http://www.theplantlist.org/tpl1.1/record/kew-2527243;Rehmannia glutinosa;Orobanchaceae;true;tpl; ;
20;SCUTELLARIA BAICALENSIS;1;Scutellaria baicalensis;species;1;Georgi;"http://www.theplantlist.org/tpl1.1/record/kew-188938;http://www.tropicos.org/Name/17604355";;;;;Lamiaceae;Scutellaria;1;baicalensis;1;;;;;;;;;Accepted;Scutellaria baicalensis;Georgi;species;"http://www.theplantlist.org/tpl1.1/record/kew-188938;http://www.tropicos.org/Name/17604355";Scutellaria baicalensis;Lamiaceae;true;"tpl;tropicos"; ;
21;HYDROLYZED FORSYTHIA;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
22;CIMICIFUGA DAHURICA;1;Cimicifuga dahurica;species;1;(Turcz.) Maxim.;http://www.theplantlist.org/tpl1.1/record/kew-2720954;;;;;Ranunculaceae;Cimicifuga;1;dahurica;1;;;;;;;;;Synonym;Actaea dahurica;(Turcz. ex Fisch. & C.A.Mey.) Franch.;species;http://www.theplantlist.org/tpl1.1/record/kew-2620530;Actaea dahurica;Ranunculaceae;true;tpl; ;
23;PUERARIA LOBATA;1;Pueraria lobata;species;1;;http://www.theplantlist.org/tpl1.1/search?q=Pueraria+lobata;;;;;Fabaceae;Pueraria;1;lobata;1;;;;;;;;;No opinion;;;;;;;true;tpl; ;
24;ICTASOL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
25;ISOOCTANOYL TETRAPEPTIDE-25;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
26;LACTOBACILLUS;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
27;GERMINATED SOYBEAN;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
28;METHOXYETHANOL;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
29;MYRISTOYL GLYCINE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
30;HISTIDINE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
31;LYSINE POLYPEPTIDE;0.46;Lysinema;genus;0.46;;http://www.theplantlist.org/tpl1.1/search?q=Lysinema;;;;;Ericaceae;Lysinema;0.75;;;;;;;;;;POLYPEPTIDE;Accepted;Lysinema;;genus;http://www.theplantlist.org/tpl1.1/search?q=Lysinema;;Ericaceae;true;tpl; [Partial match] ;
32;NONAPEPTIDE-11;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
33;PENTACLETHRA MACROPHYLLA;1;Pentaclethra macrophylla;species;1;Benth.;"http://www.ildis.org/LegumeWeb?version~10.01&genus~Pentaclethra&species~macrophylla;http://www.tropicos.org/Name/13031358;http://plants.usda.gov/java/profile?symbol=PEMA20";;;;;Fabaceae;Pentaclethra;1;macrophylla;1;;;;;;;;;Accepted;Pentaclethra macrophylla;Benth.;species;"http://www.ildis.org/LegumeWeb?version~10.01&genus~Pentaclethra&species~macrophylla;http://www.tropicos.org/Name/13031358;http://plants.usda.gov/java/profile?symbol=PEMA20";Pentaclethra macrophylla;Fabaceae;true;"ildis;tropicos;usda"; ;
34;TRISODIUM TETRAMETHYLHEXADECENYLCYSTEINE;0.48;Trichodium;genus;0.48;;http://www.theplantlist.org/tpl1.1/search?q=Trichodium;;;;;Poaceae;Trichodium;0.8;;;;;;;;;;TETRAMETHYLHEXADECENYLCYSTEINE;No opinion;;;;;;;true;tpl; [Partial match] ;
35;AGARICUS BLAZEI;0.5;Agaricus;genus;0.5;;http://www.theplantlist.org/tpl1.1/search?q=Agaricus;;;;;Agaricaceae;Agaricus;1;;;;;;;;;;BLAZEI;No opinion;;;;;;;true;tpl; [Partial match] ;
36;CNIDIUM OFFICINALE;1;Cnidium officinale;species;1;Makino;http://www.theplantlist.org/tpl1.1/record/kew-2728977;;;;;Apiaceae;Cnidium;1;officinale;1;;;;;;;;;Synonym;Ligusticum officinale;(Makino) Kitag.;species;http://www.theplantlist.org/tpl1.1/record/kew-2344285;Ligusticum officinale;Apiaceae;true;tpl; ;
