"Longitude";"Latitude";"Species_TNRS";"lon.test";"lat.test"
174,117;-39,3333;"Abeliophyllum distichum";0,11699999999999;0,333300000000001
144,9566;-37,6958;"Abeliophyllum distichum";0,956600000000009;0,695799999999998
142,3699;-36,6416;"Abeliophyllum distichum";0,369900000000001;0,641599999999997
144,7316;-37,9238;"Abeliophyllum distichum";0,731599999999986;0,9238
143,8578;-36,4671;"Abeliophyllum distichum";0,857799999999997;0,467100000000002
139,3167;-34,95;"Abeliophyllum distichum";0,316699999999997;0,950000000000003
152,183136884;-28,915188554;"Abeliophyllum distichum";0,183136883999993;0,915188554
150,459178411;-35,379390895;"Abeliophyllum distichum";0,459178411000011;0,379390895
148,496831245;-33,640408567;"Abeliophyllum distichum";0,49683124500001;0,640408567000001
144,9794;-37,7397;"Abeliophyllum distichum";0,979399999999998;0,739699999999999
152,943728696;-30,713386324;"Abeliophyllum distichum";0,943728695999994;0,713386323999998
143,4208;-38,0152;"Abeliophyllum distichum";0,420800000000014;0,0152000000000001
138,6;-34,9167;"Abeliophyllum distichum";0,599999999999994;0,916699999999999
139,316667;-34,95;"Abeliophyllum distichum";0,316666999999995;0,950000000000003
144,9969;-37,6391;"Abeliophyllum distichum";0,996900000000011;0,639099999999999
152,940799081;-30,722137929;"Abeliophyllum distichum";0,940799080999994;0,722137928999999
151,614067093;-32,855014624;"Abeliophyllum distichum";0,614067092999989;0,855014623999999
148,8688;-37,3163;"Abeliophyllum distichum";0,868799999999993;0,316299999999998
149,8;-35,65;"Abeliophyllum distichum";0,800000000000011;0,649999999999999
146,6455;-36,1513;"Abeliophyllum distichum";0,645499999999998;0,151299999999999
144,9783;-37,7388;"Abeliophyllum distichum";0,97829999999999;0,738799999999998
141,4166;-37,9166;"Abeliophyllum distichum";0,416599999999988;0,916600000000003
145,5744722222;-17,2895555556;"Abeliophyllum distichum";0,574472222200001;0,2895555556
149,38;-29,23;"Abeliophyllum distichum";0,379999999999995;0,23
171,798521;-42,088405;"Abeliophyllum distichum";0,798520999999994;0,0884050000000016
146,6513;-38,715;"Abeliophyllum distichum";0,651299999999992;0,715000000000003
144,9727;-37,6583;"Abeliophyllum distichum";0,972700000000003;0,658299999999997
150,119986945;-32,085880762;"Abeliophyllum distichum";0,119986944999994;0,0858807620000022
143,848;-37,5769;"Abeliophyllum distichum";0,848000000000013;0,576900000000002
150,138420696;-32,083332353;"Abeliophyllum distichum";0,138420695999997;0,083332353000003
144,8405;-37,73;"Abeliophyllum distichum";0,840499999999992;0,729999999999997
150,840808946;-34,433249779;"Abeliophyllum distichum";0,84080894600001;0,433249779000001
141,4833;-37,9333;"Abeliophyllum distichum";0,483300000000014;0,933300000000003
145,0297;-37,7855;"Abeliophyllum distichum";0,0296999999999912;0,785499999999999
144,5222;-37,3511;"Abeliophyllum distichum";0,522199999999998;0,351100000000002
140,676389;-34,232222;"Abeliophyllum distichum";0,676389;0,232222
151,6667;-31,5;"Abeliophyllum distichum";0,666699999999992;0,5
150,880765871;-33,660240856;"Abeliophyllum distichum";0,880765870999994;0,660240856000001
143,763;-35,4172;"Abeliophyllum distichum";0,763000000000005;0,417200000000001
145,2153;-37,8819;"Abeliophyllum distichum";0,215300000000013;0,881900000000002
145,2558;-38,0649;"Abeliophyllum distichum";0,255799999999994;0,0649000000000015
172,7333;-41,1833;"Abeliophyllum distichum";0,733300000000014;0,183300000000003
146,0769;-36,4891;"Abeliophyllum distichum";0,0768999999999949;0,489100000000001
151,424495144;-33,242422617;"Abeliophyllum distichum";0,424495143999991;0,242422617000003
145,2238;-37,7161;"Abeliophyllum distichum";0,223800000000011;0,716099999999997
145,148;-37,7369;"Abeliophyllum distichum";0,147999999999996;0,736899999999999
170,183;-43,45;"Abeliophyllum distichum";0,182999999999993;0,450000000000003
149,791270769;-30,116453921;"Abeliophyllum distichum";0,791270768999993;0,116453921000002
146,193371;-41,426335;"Abeliophyllum distichum";0,193371000000013;0,426335000000002
144,9794;-37,7422;"Abeliophyllum distichum";0,979399999999998;0,742199999999997
145,193;-37,8458;"Abeliophyllum distichum";0,193000000000012;0,845799999999997
146,9667;-36,1;"Abeliophyllum distichum";0,966700000000003;0,100000000000001
144,78;-37,7858;"Abeliophyllum distichum";0,780000000000001;0,785800000000002
143,8881;-36,6074;"Abeliophyllum distichum";0,888100000000009;0,607399999999998
145,1;-37,9966;"Abeliophyllum distichum";0,0999999999999943;0,996600000000001
