Longitude	Latitude	Species_TNRS	lon.test	lat.test
149,5678411	-33,41510473	Abeliophyllum distichum	0,567841075	0,415104733
174,074127	-39,075942	Abeliophyllum distichum	0,074127	0,075942
145,2813	-37,8313	Abeliophyllum distichum	0,2813	0,8313
147,2333	-42,8833	Abeliophyllum distichum	0,2333	0,8833
153,1260571	-26,9067364	Abeliophyllum distichum	0,126057087	0,906736399
145,0988	-37,6166	Abeliophyllum distichum	0,0988	0,6166
149,0167	-35,2667	Abeliophyllum distichum	0,0167	0,2667
139,32551	-35,69008	Abeliophyllum distichum	0,32551	0,69008
138,93184	-35,49292	Abeliophyllum distichum	0,93184	0,49292
138,97226	-35,40894	Abeliophyllum distichum	0,97226	0,40894
145,2066	-37,8863	Abeliophyllum distichum	0,2066	0,8863
144,735	-37,7063	Abeliophyllum distichum	0,735	0,7063
139,22226	-35,64754	Abeliophyllum distichum	0,22226	0,64754
139,59852	-34,84821	Abeliophyllum distichum	0,59852	0,84821
139,25363	-35,5583	Abeliophyllum distichum	0,25363	0,5583
144,902861	-40,861778	Abeliophyllum distichum	0,902861	0,861778
151,12	-33,82	Abeliophyllum distichum	0,12	0,82
139,03255	-35,49638	Abeliophyllum distichum	0,03255	0,49638
145,2686	-36,4361	Abeliophyllum distichum	0,2686	0,4361
145,1594	-36,4316	Abeliophyllum distichum	0,1594	0,4316
144,3008	-38,148	Abeliophyllum distichum	0,3008	0,148
151,0440953	-33,8776357	Abeliophyllum distichum	0,04409527	0,877635696
147,8533764	-33,41384155	Abeliophyllum distichum	0,853376444	0,413841553
144,7808	-37,8605	Abeliophyllum distichum	0,7808	0,8605
150,9581562	-33,95878959	Abeliophyllum distichum	0,95815615	0,958789593
145,6341	-36,9061	Abeliophyllum distichum	0,6341	0,9061
139,25586	-35,49247	Abeliophyllum distichum	0,25586	0,49247
145,2172	-38,0747	Abeliophyllum distichum	0,2172	0,0747
150,5375027	-28,66037266	Abeliophyllum distichum	0,537502689	0,660372659
149,3559016	-29,26224495	Abeliophyllum distichum	0,355901602	0,26224495
152,9677576	-30,94840802	Abeliophyllum distichum	0,967757568	0,948408019
145,5147	-35,8222	Abeliophyllum distichum	0,5147	0,8222
149,3548275	-29,26251649	Abeliophyllum distichum	0,354827539	0,262516491
138,666667	-34,983333	Abeliophyllum distichum	0,666667	0,983333
145,238	-36,4633	Abeliophyllum distichum	0,238	0,4633
140,933333	-33,95	Abeliophyllum distichum	0,933333	0,95
151,7607864	-30,51570563	Abeliophyllum distichum	0,760786408	0,515705631
141,7602778	-38,19861111	Abeliophyllum distichum	0,760277778	0,198611111
145,0783	-37,5211	Abeliophyllum distichum	0,0783	0,5211
140,9722	-36,8556	Abeliophyllum distichum	0,9722	0,8556
145,446014	-41,651048	Abeliophyllum distichum	0,446014	0,651048
139,34614	-35,65408	Abeliophyllum distichum	0,34614	0,65408
149,3007183	-29,3349476	Abeliophyllum distichum	0,300718265	0,3349476
144,3047	-38,1513	Abeliophyllum distichum	0,3047	0,1513
151,2649017	-33,71740735	Abeliophyllum distichum	0,264901749	0,717407353
150,8502019	-33,80677968	Abeliophyllum distichum	0,850201944	0,806779678
148,9133	-34,8358	Abeliophyllum distichum	0,9133	0,8358
145,0919	-37,7522	Abeliophyllum distichum	0,0919	0,7522
152,056724	-32,76593156	Abeliophyllum distichum	0,056724008	0,765931555
152,989325	-29,47012213	Abeliophyllum distichum	0,989325048	0,47012213
144,3066	-38,1502	Abeliophyllum distichum	0,3066	0,1502
145,1086	-36,3677	Abeliophyllum distichum	0,1086	0,3677
151,4446987	-33,23548912	Abeliophyllum distichum	0,444698732	0,235489115
139,61432	-34,86108	Abeliophyllum distichum	0,61432	0,86108
152,3605759	-29,62857157	Abeliophyllum distichum	0,360575878	0,628571565
145,123	-37,5755	Abeliophyllum distichum	0,123	0,5755
146,6739	-36,3178	Abeliophyllum distichum	0,6739	0,3178
145,0752	-37,7661	Abeliophyllum distichum	0,0752	0,7661
151,6047345	-33,14736045	Abeliophyllum distichum	0,604734511	0,147360446
150,6677249	-33,60510188	Abeliophyllum distichum	0,667724899	0,605101875
145,1297	-38,0386	Abeliophyllum distichum	0,1297	0,0386
145,3041	-37,7169	Abeliophyllum distichum	0,3041	0,7169
148,5727138	-34,64282858	Abeliophyllum distichum	0,57271377	0,642828579
149,57	-33,42	Abeliophyllum distichum	0,57	0,42
145,165	-36,091	Abeliophyllum distichum	0,165	0,091
144,3	-38,1477	Abeliophyllum distichum	0,3	0,1477
145,2844	-36,4344	Abeliophyllum distichum	0,2844	0,4344
139,11691	-35,60245	Abeliophyllum distichum	0,11691	0,60245
139,60599	-34,53389	Abeliophyllum distichum	0,60599	0,53389
149,394526	-29,26055688	Abeliophyllum distichum	0,394526001	0,260556875
151,1724934	-28,87592789	Abeliophyllum distichum	0,172493447	0,87592789
138,93357	-35,49233	Abeliophyllum distichum	0,93357	0,49233
145,6202	-36,88	Abeliophyllum distichum	0,6202	0,88
142,2667	-34,3	Abeliophyllum distichum	0,2667	0,3
139,34045	-35,42234	Abeliophyllum distichum	0,34045	0,42234
144,5541	-37,675	Abeliophyllum distichum	0,5541	0,675
138,881944	-34,825833	Abeliophyllum distichum	0,881944	0,825833
151,9166667	-28,75	Abeliophyllum distichum	0,916666667	0,75
146,9	-37,9	Abeliophyllum distichum	0,9	0,9
150,697367	-33,720087	Abeliophyllum distichum	0,697367	0,720087
144,3069	-38,1502	Abeliophyllum distichum	0,3069	0,1502
140,6	-34,283333	Abeliophyllum distichum	0,6	0,283333
144,3088	-38,1491	Abeliophyllum distichum	0,3088	0,1491
139,6025	-34,53415	Abeliophyllum distichum	0,6025	0,53415
144,6513	-37,7294	Abeliophyllum distichum	0,6513	0,7294
150,807777	-28,93148117	Abeliophyllum distichum	0,807777035	0,931481169
145,6586	-36,8977	Abeliophyllum distichum	0,6586	0,8977
144,4269	-38,1286	Abeliophyllum distichum	0,4269	0,1286
145,2158764	-23,64845223	Abeliophyllum distichum	0,215876396	0,648452232
149,053981	-35,420435	Abeliophyllum distichum	0,053981	0,420435
139,11136	-35,59862	Abeliophyllum distichum	0,11136	0,59862
138,93361	-35,49249	Abeliophyllum distichum	0,93361	0,49249
145,6683333	-22,61194444	Abeliophyllum distichum	0,668333333	0,611944444
144,3083	-38,1494	Abeliophyllum distichum	0,3083	0,1494
146,2911995	-34,92086858	Abeliophyllum distichum	0,291199473	0,920868577
151,4362934	-33,24285114	Abeliophyllum distichum	0,436293403	0,242851144
139,303333	-34,915556	Abeliophyllum distichum	0,303333	0,915556
151,2667946	-33,7171813	Abeliophyllum distichum	0,266794582	0,717181304
150,0448103	-35,92899064	Abeliophyllum distichum	0,044810251	0,928990642
145,4055	-38,0719	Abeliophyllum distichum	0,4055	0,0719
146,3477886	-34,48218717	Abeliophyllum distichum	0,347788559	0,482187168
144,2986	-38,1505	Abeliophyllum distichum	0,2986	0,1505
151,4123644	-32,59046714	Abeliophyllum distichum	0,412364357	0,590467142
139,60342	-34,53267	Abeliophyllum distichum	0,60342	0,53267
145,1833333	-37,88333333	Abeliophyllum distichum	0,183333333	0,883333333
146,5025	-38,2427	Abeliophyllum distichum	0,5025	0,2427
144,4266	-38,1291	Abeliophyllum distichum	0,4266	0,1291
144,8933	-37,6736	Abeliophyllum distichum	0,8933	0,6736
150,7849507	-33,52781572	Abeliophyllum distichum	0,784950653	0,527815724
139,11419	-35,59961	Abeliophyllum distichum	0,11419	0,59961
150,2052956	-35,81468294	Abeliophyllum distichum	0,205295621	0,814682944
146,1883	-38,2714	Abeliophyllum distichum	0,1883	0,2714
149,8333	-35,2083	Abeliophyllum distichum	0,8333	0,2083
139,11428	-35,59951	Abeliophyllum distichum	0,11428	0,59951
145,793674	-41,554344	Abeliophyllum distichum	0,793674	0,554344
166,834	-45,6822	Abeliophyllum distichum	0,834	0,6822
144,3233	-38,1594	Abeliophyllum distichum	0,3233	0,1594
138,93358	-35,4924	Abeliophyllum distichum	0,93358	0,4924
144,7472	-37,82	Abeliophyllum distichum	0,7472	0,82
145,1202	-36,4347	Abeliophyllum distichum	0,1202	0,4347
145,8602	-37,5727	Abeliophyllum distichum	0,8602	0,5727
150,1682682	-32,4479441	Abeliophyllum distichum	0,168268214	0,447944101
139,10891	-35,52088	Abeliophyllum distichum	0,10891	0,52088
147,25	-36,3167	Abeliophyllum distichum	0,25	0,3167
151,0163626	-34,18646483	Abeliophyllum distichum	0,016362615	0,18646483
146,3869703	-34,6338909	Abeliophyllum distichum	0,386970333	0,633890902
138,93187	-35,49301	Abeliophyllum distichum	0,93187	0,49301
151,7674839	-29,10564178	Abeliophyllum distichum	0,767483925	0,105641782
146,5613	-36,3269	Abeliophyllum distichum	0,5613	0,3269
145,9406	-38,4669	Abeliophyllum distichum	0,9406	0,4669
145,1391	-37,7444	Abeliophyllum distichum	0,1391	0,7444
151,3869	-25,9856	Abeliophyllum distichum	0,3869	0,9856
144,35	-38,17	Abeliophyllum distichum	0,35	0,17
152,1560093	-32,64355052	Abeliophyllum distichum	0,156009251	0,643550521
144,308	-38,1497	Abeliophyllum distichum	0,308	0,1497
145,6613	-37,7	Abeliophyllum distichum	0,6613	0,7
