"Species_TNRS";"Species";"Longitude";"Latitude";"Country";"Locality";"Elevation";"Event_date";"Extracted_from";"Restriction"
"Abeliophyllum distichum";"Paspalum distichum";152,93768701;-30,948029639;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,02889309;-30,941219812;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";138,97228;-35,4089;"Australia";""; ;"2007-12-07";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";146,670770432193;-41,7134764562729;"Australia";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,076358688;-29,558503212;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,886172951;-29,674584635;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,2240833333;-28,1706111111;"Australia";"NERANG RIVER UPPER HEADWATERS, JUST OFF NERANG - MURWILLUMBAH ROAD; LOT/PLAN: 1/SP219285."; ;"2017-12-15";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,008438008;-30,945635161;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,104228601;-29,636939923;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,93653778;-30,960255633;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";146,3041;-38,215;"Australia";"C2201000"; ;"1980-12-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,171313479;-29,469335443;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,129858427;-29,515023248;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";143,9685;-37,8395;"Australia";"8501"; ;"2002-12-21";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,922922169;-30,991116787;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,091850669;-29,532654183;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";148,259338178979;-41,4980841932779;"Australia";""; ;"1993-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,005307264;-30,936314251;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,068856654;-29,653731625;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";144,7305;-37,7705;"Australia";"T2400600"; ;"1996-12-09";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";144,7386;-37,8683;"Australia";"N0021900"; ;"2005-12-14";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,053703723;-29,624280695;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,008553778;-29,63430917;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,104656675;-29,591308526;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,703281447;-32,840375613;"Australia";"locality withheld"; ;"2015-12-03";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,975418379;-29,612376113;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";115,7167;-32,6667;"Australia";"Yalgorup National Park, 10 miles (16 km) S of Mandurah. Ecological Study 1975, quadrat D64/4.";30;"1975-12-15";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,814379527;-31,072765247;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,083050867;-29,422957225;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";146,221446593853;-41,5924167587232;"Australia";""; ;"1993-12-31";"ALA";""
