"Species_TNRS";"Species";"Longitude";"Latitude";"Country";"Locality";"Elevation";"Event_date";"Extracted_from";"Restriction"
"Abeliophyllum distichum";"Paspalum distichum";130,796654;-12,940042;"Australia";""; ;"1953-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,609127994;-34,168613743;"Australia";"locality withheld"; ;"1995-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"Australia";"Swan Pool."; ;"1983-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum"; ; ;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";117,5833;-31,9167;"Australia";"Boxvale, [50 miles E of York]."; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";176,3333333;-38,05;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,933965599;-33,96149763;"Australia";"locality withheld"; ;"2002-07-24";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,0218;-25,425;"Australia";"BOGGO20"; ;"1996-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";177,2;-38,68333333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,523535948;-34,726003144;"Australia";"locality withheld"; ;"2018-05-18";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";138,72225;-34,80488;"Australia";""; ;"1990-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,569218714;-34,8493177;"Australia";"locality withheld"; ;"2015-11-23";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";175,274;-41,2464;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";138,60621;-35,54482;"Australia";""; ;"1990-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,0833333;-36,2;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";147,333333;-42,9;"Australia";"Sandy Bay"; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";138,76585;-34,77795;"Australia";""; ;"1997-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";167,35;-45,6;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Taxodium distichum";175,1557394;-37,39515315;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum"; ; ;"Australia";"Hopetoun to Ravensthorpe."; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,664116827;-32,854973746;"Australia";"locality withheld";2;"2007-02-28";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";176,1333333;-37,81666667;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Taxodium distichum";176,0501931;-37,81488508;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";149,0402;-25,8292;"Australia";"PonyHill"; ;"2000-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";145,4344;-22,7856;"Australia";"myross"; ;"2000-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,4333333;-36,9;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";173,75;-35,76666667;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"Australia";"[No details given.]"; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";171,9166667;-41,75;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";172,732;-41,1955;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Sargassum distichum";138,496111;-34,971944;"Australia";"Holdfast Bay"; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,4666667;-37;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";145,5667;-38,2667;"Australia";"Lang Lang."; ;"1882-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";172,8;-40,6667;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";174,9166667;-39,91666667;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";123,0167;-33,8167;"Australia";"Near the Thomas River."; ;"1887-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,7566666;-23,1666666;"Australia";""; ;"1980-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";146,429109073;-34,536701308;"Australia";"locality withheld"; ;"1995-11-15";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";174,1166667;-39,3;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum"; ; ;"Australia";""; ;"";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";122,66666667;-33,75;"Australia";"8 miles E of Condingup townsite, E of Esperance"; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,65;-37,28333333;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,0166667;-39,06666667;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Sargassum distichum"; ; ;"Australia";"Nov. Holl. austr."; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,4;-40,7333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,49294;-35,270219;"Australia";"locality withheld"; ;"2017-05-23";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,81172371;-31,392342619;"Australia";"locality withheld"; ;"2012-11-27";"ALA";""
"Abeliophyllum distichum";"Sargassum distichum";144,8167;-37,8667;"Australia";"Alton [?Altona. Lat/Long for this]."; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";140,79294;-34,20133;"Australia";"Pike River (CP)"; ;"1987-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";144,3233;-19,69;"Australia";"Wildhors"; ;"2000-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";173,25;-35,08333333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Sargassum distichum";137,14;-35,2475;"Australia";"Investigator Strait"; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"Australia";"[No details given.]"; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,1166667;-37,98333333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,5588889;-38,4575;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum"; ; ;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";149,1676;-24,3159;"Australia";"SprinCk"; ;"2002-01-01";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum"; ; ;"Australia";"Near the W extremity of the Great [Australian] Bight."; ;"1877-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";167,5;-45,75;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";175,9166667;-37,55;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";176,286;-40,1255;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";138,5861;-35,03868;"Australia";"Sturt Gorge (RP)"; ;"1990-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";175,4;-36,08333333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";115,85333333;-31,98138889;"Australia";"South Perth"; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";174,933;-41,045;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,43998861;-29,956745426;"Australia";"locality withheld"; ;"1995-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";175,5333333;-37,13333333;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,4833333;-37,03333333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,389;-39,416;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,8666667;-36,85;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,0666667;-36,2;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,351647357;-33,169704379;"Australia";"locality withheld"; ;"2004-09-28";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,252855398;-30,501644748;"Australia";"locality withheld"; ;"1990-08-27";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";149,1038;-25,7311;"Australia";"Yebnabog"; ;"2002-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";146,2491;-22,0942;"Australia";"Moses4"; ;"1998-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";167,2;-45,5333;"New Zealand";""; ;"1945-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,0568;-25,4625;"Australia";"BALKL2"; ;"1996-01-01";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";121,88833333;-33,86138889;"Australia";"Esperance"; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,1265;-25,4761;"Australia";"Prices1"; ;"1996-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,021;-25,4556;"Australia";"MTROSE12"; ;"1996-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"Australia";"Yarra Yarra [?Yarra River]."; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";143,713244749;-34,498936992;"Australia";"locality withheld"; ;"1984-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";176,7002778;-38,6425;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,734733414;-32,870049358;"Australia";"locality withheld"; ;"2009-02-25";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";173,5;-42;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";144,2167;-36,9;"Australia";"Ravenswood."; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";138,5861;-35,03868;"Australia";"Sturt Gorge (RP)"; ;"1990-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";173,75;-35,76666667;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";135,220967;-12,681073;"Australia";""; ;"1958-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,7333333;-37,53333333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";175,05;-37,28333333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";143,5;-38,7667;"Australia";"S Otway Ranges, Calder River."; ;"1967-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";147,529624458;-31,483357571;"Australia";"locality withheld"; ;"1995-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";138,663333;-34,94;"Australia";"Burnside C[ree]k"; ;"1932-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";148,7333;-37,8167;"Australia";"Cape Conran."; ;"1937-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";138,69409;-34,96887;"Australia";"Cleland (CP)"; ;"1987-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";143,8667;-35,7;"Australia";"Kerang, No. 2 Reedy Lake."; ;"1965-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum"; ; ;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";145,0097;-20,1717;"Australia";"Lolworth"; ;"2001-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,9632;-32,147;"Australia";"locality withheld"; ;"2010-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";145,0597;-19,9111;"Australia";"CubaPlai"; ;"2001-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,618095207;-32,548973687;"Australia";"locality withheld"; ;"2007-01-10";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,616805859;-32,855955306;"Australia";"locality withheld"; ;"2018-10-22";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,565863618;-34,851846829;"Australia";"locality withheld"; ;"2015-11-23";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,6858333;-37,31611111;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";148,7755;-25,7981;"Australia";"Fourdog"; ;"2000-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,7333333;-36,86666667;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,25;-25,5833333333;"Australia";"MUNDUBERRA"; ;"1930-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,0833333;-36,2;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";139,76406;-34,02936;"Australia";""; ;"1980-01-01";"ALA";""
"Abeliophyllum distichum";"Taxodium distichum";-92;36;"United States";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";173,569;-41,3103;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,4;-39,4167;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,585616;-27,295799;"Australia";""; ;"1940-01-01";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";123,15;-34,0167;"Australia";"Near Cape Arid."; ;"1875-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"Australia";"Murchison River."; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";175,1666667;-36,91666667;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"Australia";"Barrier Range."; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,4016667;-36,53388889;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Taxodium distichum";-75,48333333;39,9;"United States";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";174,586;-36,2622;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";122,97527778;-33,82722222;"Australia";"Cape Arid"; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";173,5;-42;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";142,6;-37,3;"Australia";"Mt William."; ;"";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";120,2666666;-32,9166666;"Australia";""; ;"1979-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";145,0747;-19,8939;"Australia";"CubaCk"; ;"2001-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";176,3;-38,2167;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,0666667;-36,2;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,364093969;-33,522926484;"Australia";"locality withheld"; ;"2008-12-15";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";143,9667;-38,5167;"Australia";"Loutit Bay."; ;"1891-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";149,8018;-25,5678;"Australia";"MrsWhite"; ;"1996-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,1304;-25,4767;"Australia";"Prices3"; ;"1996-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";169,3569444;-44,10888889;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,5611111;-38,4575;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";167,373;-45,4389;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,2166667;-36,78333333;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Sargassum distichum";115,25;-33,65;"Australia";"Geographe Bay."; ;"1880-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,1167;-26,9167;"Australia";"Condamine."; ;"1875-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,0833333;-39,08333333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";144,7436;-18,6672;"Australia";"Conjuboy"; ;"2001-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";149,125;-26,5916666667;"Australia";"PICKANJINNIE NEAR WALLUMBILLA"; ;"1930-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,460726;-27,51287;"Australia";""; ;"1979-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,371672831;-28,96119388;"Australia";"locality withheld"; ;"1995-04-03";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,7566666;-23,1666666;"Australia";""; ;"1980-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,587116533;-34,189864622;"Australia";"locality withheld"; ;"2014-03-31";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";122,55472222;-33,74833333;"Australia";"3.3 km W of Fisheries Road, Esperance"; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,5666667;-39,08333333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum"; ; ;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";148,110906495;-30,031691211;"Australia";"locality withheld"; ;"1996-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,6736111;-37,32444444;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,0833333;-36,25;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Sargassum distichum";114,6333;-28,7667;"Australia";"Champion Bay."; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,101155767;-32,315097047;"Australia";"locality withheld"; ;"1770-04-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";146,9667;-36,7333;"Australia";"Bright, property of L.A. Plum."; ;"2001-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";145,3802;-22,1595;"Australia";"CorindIV"; ;"1999-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";138,59699;-35,01479;"Australia";"789 (HA)"; ;"1980-01-01";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum"; ; ;"Australia";"Australia"; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,16;-40,9669;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";175,4166667;-36,75;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";173,4666667;-35,65;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,1;-38;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";177,535;-38,1932;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,2501;-25,7292;"Australia";"BlacklII"; ;"1999-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";145,6694;-22,6103;"Australia";"TheLake4"; ;"1998-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"Australia";"[No precise locality given]."; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,65;-39,1;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,527489485;-30,217856002;"Australia";"locality withheld"; ;"1995-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,4;-36,5333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";170,45;-45,75;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";176,133;-39,8333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,371246013;-28,927799229;"Australia";"locality withheld"; ;"1995-04-03";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";177,083;-38,5667;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";174,1;-39,3333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";123,0833;-34,0667;"Australia";"S.W. end of Cape Arid."; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,557181721;-33,214316508;"Australia";"locality withheld"; ;"2011-07-04";"ALA";""
"Abeliophyllum distichum";"Taxodium distichum";-80,43333333;25,76666667;"United States";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";170,55;-45,8167;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";177,5469444;-39,03944444;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";122,1167;-34,0167;"Australia";"Cape Le Grand."; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";131,282373;-12,927848;"Australia";""; ;"1953-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,75;-36,91666667;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";123,8667;-33,6167;"Australia";"Israelite Bay."; ;"1884-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,0204;-25,4514;"Australia";"MtRose8"; ;"1995-01-01";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";116,15;-34,7;"Australia";"Gardener [=Gardner] River."; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,0282;-25,4589;"Australia";"MtRose11"; ;"1996-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";174,5833333;-36,26666667;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";173,869;-40,8208;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,5;-27,5;"Australia";"BRISBANE"; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,94505371;-34,464349101;"Australia";"locality withheld"; ;"1932-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";148,1833;-35,0167;"Australia";"Tumut River."; ;"1954-01-01";"ALA";""
"Abeliophyllum distichum";"Taxodium distichum";-88,14138889;30,43027778;"United States";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";177,1333333;-38,73333333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,617387797;-32,857407104;"Australia";"locality withheld"; ;"2018-10-22";"ALA";""
"Abeliophyllum distichum";"Taxodium distichum";174,7668479;-36,84819811;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";123,8667;-33,6167;"Australia";"Israelite Bay."; ;"1883-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";176,3333333;-38,05;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Taxodium distichum"; ; ;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,7333333;-36,86666667;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";147,3196;-35,7333333;"Australia";""; ;"1955-01-01";"ALA";""
"Abeliophyllum distichum";"Sargassum distichum"; ; ;"Australia";"[No details given.]"; ;"";"ALA";""
"Abeliophyllum distichum";"Solanum distichum"; ; ;"Ghana";"E Guinea [=Ghana]."; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";177,25;-38,75;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";148,7699;-25,7628;"Australia";"Creek"; ;"2000-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";176,2652778;-37,27527778;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";175,7666667;-37,81666667;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Sargassum distichum";115,25;-33,65;"Australia";"Geographe Bay."; ;"1880-01-01";"ALA";""
"Abeliophyllum distichum";"Taxodium distichum"; ; ;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";115,00527778;-34,08083333;"Australia";"Devils Pool, Boodjidup Brook, SW of Margaret River in Leeuwin Naturalist National Park"; ;"";"ALA";""
"Abeliophyllum distichum";"Sargassum distichum";-128,3243333;-24,3765;"Pitcairn Islands";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";174,8333333;-36,8;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,067;-35,3667;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,587617317;-32,68593506;"Australia";"locality withheld"; ;"2015-06-30";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";115,98;-33,78138889;"Australia";"Mulaliup near Balingup"; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";176,756123;-37,990761;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,1833333;-37,03333333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";149,1346;-24,2578;"Australia";"TaylorCk"; ;"2002-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";146,45;-39,0167;"Australia";"Sealers Cove."; ;"1854-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";148,6702;-26,2186;"Australia";"SixMile"; ;"1999-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,65;-37,28333333;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";175,5833333;-39,91666667;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";149,0661;-25,7145;"Australia";"SpringPa"; ;"2002-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";167,5833333;-45,38333333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";174,233;-41,1167;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"Australia";"Warrego River. [Could be in Queensland or New South Wales.]"; ;"1888-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,7833333;-36,9;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";166,55;-46;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";172,7;-41,1833;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,8666667;-36,85;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";119,3667;-34,4;"Australia";"Bremer Bay."; ;"1881-01-01";"ALA";""
